Time,Open,High,Low,Close,Volume,VWAP
1592832600,5.41,5.5,5.41,5.49,42.0,5.468095
1592832660,5.52,5.55,5.51,5.55,11.0,5.481886
1592832720,5.4,5.41,5.38,5.41,73.0,5.437936
1592832780,5.36,5.36,5.18,5.18,33.0,5.398113
1592832840,5.2,5.2,5.13,5.2,78.0,5.311181
1592832900,5.24,5.27,5.23,5.24,25.0,5.304312
1592832960,5.18,5.19,5.15,5.18,18.0,5.295857
1592833020,5.18,5.18,5.18,5.18,5.0,5.293824
1592833080,5.19,5.19,5.19,5.19,50.0,5.278328
1592833140,5.2,5.2,5.2,5.2,1.0,5.278095
1592833200,5.07,5.13,5.07,5.11,14.0,5.270371
1592833260,5.16,5.16,5.14,5.15,18.0,5.264809
1592833320,5.15,5.2,5.14,5.2,69.0,5.252059
1592833380,5.15,5.23,5.15,5.22,13.0,5.250155
1592833440,5.2,5.23,5.2,5.22,52.0,5.247988
1592833500,5.24,5.24,5.23,5.23,86.0,5.245374
1592833560,5.18,5.23,5.18,5.23,11.0,5.244824
1592833620,5.23,5.32,5.23,5.27,23.0,5.245401
1592833680,5.29,5.34,5.25,5.33,109.0,5.259233
1592833740,5.34,5.34,5.34,5.34,3.0,5.259564
1592833800,5.34,5.34,5.34,5.34,8.0,5.260431
1592833920,5.32,5.38,5.31,5.37,6.0,5.261109
1592833980,5.45,5.45,5.45,5.45,10.0,5.263601
1592834100,5.44,5.44,5.44,5.44,17.0,5.26747
1592834160,5.5,5.5,5.5,5.5,2.0,5.268069
1592834280,5.55,5.55,5.54,5.54,21.0,5.275476
1592834340,5.53,5.53,5.53,5.53,1.0,5.275794
1592834400,5.53,5.54,5.52,5.52,3.0,5.276745
1592834460,5.5,5.5,5.48,5.49,82.0,5.296583
1592834520,5.48,5.48,5.48,5.48,25.0,5.301628
1592834580,5.76,5.76,5.76,5.76,31.0,5.316744
1592834640,5.74,5.75,5.74,5.75,6.0,5.319439
1592834700,5.71,5.71,5.7,5.7,5.0,5.321482
1592834760,5.73,5.73,5.73,5.73,2.0,5.322339
1592834820,5.75,5.79,5.75,5.79,5.0,5.324739
1592834880,5.8,5.85,5.8,5.85,29.0,5.339544
1592834940,5.86,5.88,5.86,5.87,109.0,5.391395
1592835000,5.86,5.86,5.83,5.83,6.0,5.393901
1592835060,5.86,5.86,5.86,5.86,5.0,5.396007
1592835120,5.89,5.9,5.89,5.9,2.0,5.396907
1592835240,5.93,5.93,5.93,5.93,1.0,5.397387
1592835300,5.96,5.99,5.96,5.99,4.0,5.399488
1592835360,5.94,5.95,5.94,5.95,121.0,5.452526
1592835420,5.96,5.96,5.96,5.96,10.0,5.456602
1592835480,5.92,5.92,5.89,5.9,21.0,5.463933
1592835540,5.91,5.91,5.87,5.87,2.0,5.464605
1592835600,5.89,5.91,5.88,5.88,14.0,5.469188
1592835660,5.82,5.84,5.82,5.83,66.0,5.486928
1592835720,5.84,5.84,5.8,5.8,5.0,5.488144
1592835840,5.89,5.89,5.84,5.87,9.0,5.490682
1592836020,5.83,5.84,5.83,5.84,4.0,5.491698
1592836080,5.85,5.91,5.85,5.9,5007.0,5.820282
1592836200,5.89,5.89,5.89,5.89,72.0,5.821061
1592836260,5.84,5.84,5.76,5.76,46.0,5.820756
1592836320,5.76,5.76,5.76,5.76,14.0,5.820625
1592836380,5.72,5.73,5.72,5.72,35.0,5.820134
